,w1,w2,condition,subtype,w1_type,w2_type
0,low,bird,phrase,odd,word,word
1,sad,clue,phrase,odd,word,word
2,shy,crab,phrase,odd,word,word
3,ill,drum,phrase,odd,word,word
4,any,lamp,phrase,odd,word,word
5,mad,luck,phrase,odd,word,word
6,wry,neck,phrase,odd,word,word
7,the,pawn,phrase,odd,word,word
8,hot,road,phrase,odd,word,word
9,her,crow,phrase,odd,word,word
10,our,wall,phrase,odd,word,word
11,new,wool,phrase,odd,word,word
12,dear,ant,phrase,odd,word,word
13,sick,bat,phrase,odd,word,word
14,pale,bud,phrase,odd,word,word
15,soft,dew,phrase,odd,word,word
16,full,egg,phrase,odd,word,word
17,gray,fin,phrase,odd,word,word
18,safe,god,phrase,odd,word,word
19,mild,hen,phrase,odd,word,word
20,rude,lip,phrase,odd,word,word
21,firm,mug,phrase,odd,word,word
22,such,owl,phrase,odd,word,word
23,huge,tub,phrase,odd,word,word
24,neat,area,phrase,odd,word,word
25,long,atom,phrase,odd,word,word
26,cosy,baby,phrase,odd,word,word
27,foxy,barn,phrase,odd,word,word
28,lone,bean,phrase,odd,word,word
29,rare,bell,phrase,odd,word,word
30,mere,boss,phrase,odd,word,word
31,keen,cell,phrase,odd,word,word
32,some,clay,phrase,odd,word,word
33,wise,desk,phrase,odd,word,word
34,wild,doll,phrase,odd,word,word
35,bold,edge,phrase,odd,word,word
36,lazy,fate,phrase,odd,word,word
37,lush,frog,phrase,odd,word,word
38,much,hair,phrase,odd,word,word
39,kind,hill,phrase,odd,word,word
40,deep,isle,phrase,odd,word,word
41,sane,kiwi,phrase,odd,word,word
42,nice,lake,phrase,odd,word,word
43,your,lion,phrase,odd,word,word
44,this,lord,phrase,odd,word,word
45,busy,meat,phrase,odd,word,word
46,damp,myth,phrase,odd,word,word
47,cute,path,phrase,odd,word,word
48,ripe,pint,phrase,odd,word,word
49,iffy,pond,phrase,odd,word,word
50,idle,ring,phrase,odd,word,word
51,dark,roof,phrase,odd,word,word
52,true,soap,phrase,odd,word,word
53,tidy,soul,phrase,odd,word,word
54,bald,team,phrase,odd,word,word
55,best,time,phrase,odd,word,word
56,poor,tree,phrase,odd,word,word
57,tiny,wife,phrase,odd,word,word
58,slim,wing,phrase,odd,word,word
59,thin,word,phrase,odd,word,word
60,city,his,non-phrase,odd,word,word
61,coin,raw,non-phrase,odd,word,word
62,toad,apt,non-phrase,odd,word,word
63,girl,odd,non-phrase,odd,word,word
64,limb,dry,non-phrase,odd,word,word
65,moon,bad,non-phrase,odd,word,word
66,page,big,non-phrase,odd,word,word
67,pill,wet,non-phrase,odd,word,word
68,sock,icy,non-phrase,odd,word,word
69,town,old,non-phrase,odd,word,word
70,womb,sly,non-phrase,odd,word,word
71,zone,lax,non-phrase,odd,word,word
72,ash,cold,non-phrase,odd,word,word
73,bay,vast,non-phrase,odd,word,word
74,cow,hard,non-phrase,odd,word,word
75,ear,that,non-phrase,odd,word,word
76,fig,avid,non-phrase,odd,word,word
77,fog,pink,non-phrase,odd,word,word
78,gum,rich,non-phrase,odd,word,word
79,ink,pure,non-phrase,odd,word,word
80,mat,worn,non-phrase,odd,word,word
81,oak,slow,non-phrase,odd,word,word
82,pen,weak,non-phrase,odd,word,word
83,van,tall,non-phrase,odd,word,word
84,army,fair,non-phrase,odd,word,word
85,aunt,cool,non-phrase,odd,word,word
86,ball,easy,non-phrase,odd,word,word
87,beak,next,non-phrase,odd,word,word
88,beer,each,non-phrase,odd,word,word
89,body,loud,non-phrase,odd,word,word
90,bowl,lame,non-phrase,odd,word,word
91,chin,same,non-phrase,odd,word,word
92,clot,high,non-phrase,odd,word,word
93,disk,meek,non-phrase,odd,word,word
94,door,lone,non-phrase,odd,word,word
95,omen,calm,non-phrase,odd,word,word
96,foot,mute,non-phrase,odd,word,word
97,game,wary,non-phrase,odd,word,word
98,hall,dual,non-phrase,odd,word,word
99,hour,main,non-phrase,odd,word,word
100,king,teal,non-phrase,odd,word,word
101,knob,dull,non-phrase,odd,word,word
102,leaf,sure,non-phrase,odd,word,word
103,lobe,wide,non-phrase,odd,word,word
104,lung,warm,non-phrase,odd,word,word
105,monk,sour,non-phrase,odd,word,word
106,oven,dead,non-phrase,odd,word,word
107,pine,real,non-phrase,odd,word,word
108,poem,oily,non-phrase,odd,word,word
109,rice,holy,non-phrase,odd,word,word
110,role,blue,non-phrase,odd,word,word
111,sign,good,non-phrase,odd,word,word
112,sofa,rosy,non-phrase,odd,word,word
113,soup,wavy,non-phrase,odd,word,word
114,term,grim,non-phrase,odd,word,word
115,tomb,posh,non-phrase,odd,word,word
116,unit,fast,non-phrase,odd,word,word
117,wine,bare,non-phrase,odd,word,word
118,wolf,fake,non-phrase,odd,word,word
119,year,dumb,non-phrase,odd,word,word
120,xjtk,area,non-word,odd,non-word,word
121,fin,qkzm,non-word,odd,word,non-word
122,wet,vjbk,non-word,odd,word,non-word
123,keen,tjpv,non-word,odd,word,non-word
124,tkqv,role,non-word,odd,non-word,word
125,coin,sjkv,non-word,odd,word,non-word
126,shy,kkqv,non-word,odd,word,non-word
127,mkqv,weak,non-word,odd,non-word,word
128,cell,sjkv,non-word,odd,word,non-word
129,jkzm,avid,non-word,odd,non-word,word
130,mad,mkqv,non-word,odd,word,non-word
131,posh,qvxj,non-word,odd,word,non-word
132,qkzm,mat,non-word,odd,non-word,word
133,vkzj,beak,non-word,odd,non-word,word
134,zkwj,soft,non-word,odd,non-word,word
135,slim,kvzk,non-word,odd,word,non-word
136,vjbk,rare,non-word,odd,non-word,word
137,zmtk,real,non-word,odd,non-word,word
138,monk,pvzk,non-word,odd,word,non-word
139,ring,zjvk,non-word,odd,word,non-word
140,jvzk,our,non-word,odd,non-word,word
141,cool,jvzk,non-word,odd,word,non-word
142,qkwj,pawn,non-word,odd,non-word,word
143,gktj,roof,non-word,odd,non-word,word
144,moon,gktj,non-word,odd,word,non-word
145,kkqv,fair,non-word,odd,non-word,word
146,the,xjgk,non-word,odd,word,non-word
147,fkvj,worn,non-word,odd,non-word,word
148,tjpv,lone,non-word,odd,non-word,word
149,long,zmtk,non-word,odd,word,non-word
150,grim,zmjv,non-word,odd,word,non-word
151,lion,vkzj,non-word,odd,word,non-word
152,fate,vkjv,non-word,odd,word,non-word
153,fkvj,much,non-word,odd,non-word,word
154,xjtk,beer,non-word,odd,non-word,word
155,jkzm,any,non-word,odd,non-word,word
156,crow,zjmv,non-word,odd,word,non-word
157,wavy,jvwj,non-word,odd,word,non-word
158,fast,hkmv,non-word,odd,word,non-word
159,qvzk,bud,non-word,odd,non-word,word
160,kvtj,aunt,non-word,odd,non-word,word
161,wjgk,oak,non-word,odd,non-word,word
162,bell,tkqv,non-word,odd,word,non-word
163,hkwj,lamp,non-word,odd,non-word,word
164,qkwj,year,non-word,odd,non-word,word
165,ear,zjmv,non-word,odd,word,non-word
166,kvzk,bad,non-word,odd,non-word,word
167,disk,qvzk,non-word,odd,word,non-word
168,zjvk,soup,non-word,odd,non-word,word
169,qvxj,such,non-word,odd,non-word,word
170,hkmv,sane,non-word,odd,non-word,word
171,wjgk,hen,non-word,odd,non-word,word
172,bare,xjgk,non-word,odd,word,non-word
173,big,zkwj,non-word,odd,word,non-word
174,ash,vkjv,non-word,odd,word,non-word
175,kvtj,frog,non-word,odd,non-word,word
176,sock,hkwj,non-word,odd,word,non-word
177,doll,pvzk,non-word,odd,word,non-word
178,zmjv,nice,non-word,odd,non-word,word
179,low,jvwj,non-word,odd,word,non-word
