,w1,w2,condition
0,dear,boy,phrase
1,last,hour,phrase
2,pure,white,phrase
3,tiny,bit,phrase
4,low,birth,phrase
5,open,doors,phrase
6,ideal,gas,phrase
7,comic,books,phrase
8,loose,ends,phrase
9,safe,house,phrase
10,holy,place,phrase
11,real,power,phrase
12,great,day,phrase
13,iced,tea,phrase
14,extra,money,phrase
15,key,terms,phrase
16,same,line,phrase
17,thick,black,phrase
18,pale,skin,phrase
19,rare,cases,phrase
20,all,can,phrase
21,bare,hands,phrase
22,fair,trial,phrase
23,true,value,phrase
24,best,use,phrase
25,hot,dogs,phrase
26,mere,fact,phrase
27,blind,eye,phrase
28,moral,law,phrase
29,usual,way,phrase
30,equal,parts,phrase
31,uric,acid,phrase
32,inner,life,phrase
33,due,time,phrase
34,nice,guy,phrase
35,blue,jeans,phrase
36,wry,smile,phrase
37,final,rule,phrase
38,worth,while,phrase
39,net,worth,phrase
40,grey,eyes,phrase
41,some,words,phrase
42,dry,land,phrase
43,dark,night,phrase
44,high,water,phrase
45,armed,men,phrase
46,worst,case,phrase
47,those,old,phrase
48,damn,well,phrase
49,awful,lot,phrase
50,full,view,phrase
51,legal,order,phrase
52,cold,war,phrase
53,hind,legs,phrase
54,new,year,phrase
55,civil,wars,phrase
56,such,good,phrase
57,gray,hair,phrase
58,worse,off,phrase
59,soft,voice,phrase
60,mere,sjqk,non-word
61,vjmk,final,non-word
62,ideal,zkwj,non-word
63,vjbk,high,non-word
64,qktj,loose,non-word
65,xkvj,pure,non-word
66,wjkv,such,non-word
67,dry,qvxj,non-word
68,sjkv,great,non-word
69,due,sjmk,non-word
70,full,zjpv,non-word
71,uric,jvgk,non-word
72,mkqv,safe,non-word
73,bare,kvjk,non-word
74,xkqv,equal,non-word
75,zmqk,low,non-word
76,last,bkxj,non-word
77,iced,zmqv,non-word
78,extra,bksj,non-word
79,hot,kkqv,non-word
80,wjvk,open,non-word
81,fkvj,those,non-word
82,zkxj,tiny,non-word
83,all,hkwj,non-word
84,cold,bkvj,non-word
85,wjqk,fair,non-word
86,kkwj,blind,non-word
87,worse,tkpv,non-word
88,thick,qvzk,non-word
89,zjqv,civil,non-word
90,pvkk,day,non-word
91,time,gktj,non-word
92,pvtk,house,non-word
93,cases,tjkk,non-word
94,jvwj,acid,non-word
95,lot,xjtk,non-word
96,tkxj,men,non-word
97,money,tjpv,non-word
98,gkpv,night,non-word
99,can,gkjv,non-word
100,order,jktj,non-word
101,case,jvbk,non-word
102,guy,qkwj,non-word
103,qvtj,line,non-word
104,hkjv,worth,non-word
105,hkzj,hour,non-word
106,well,vjtk,non-word
107,kvtj,parts,non-word
108,xjqk,off,non-word
109,xjbk,old,non-word
110,law,tjxk,non-word
111,fkmv,books,non-word
112,use,zmjv,non-word
113,legs,zkqv,non-word
114,jeans,qksj,non-word
115,good,vkjv,non-word
116,mvzm,value,non-word
117,jkwj,view,non-word
118,place,mksj,non-word
119,mvzk,water,non-word
120,boy,dear,non-phrase
121,hour,last,non-phrase
122,white,pure,non-phrase
123,bit,tiny,non-phrase
124,birth,low,non-phrase
125,doors,open,non-phrase
126,gas,ideal,non-phrase
127,books,comic,non-phrase
128,ends,loose,non-phrase
129,house,safe,non-phrase
130,place,holy,non-phrase
131,power,real,non-phrase
132,day,great,non-phrase
133,tea,iced,non-phrase
134,money,extra,non-phrase
135,terms,key,non-phrase
136,line,same,non-phrase
137,black,thick,non-phrase
138,skin,pale,non-phrase
139,cases,rare,non-phrase
140,can,all,non-phrase
141,hands,bare,non-phrase
142,trial,fair,non-phrase
143,value,true,non-phrase
144,use,best,non-phrase
145,dogs,hot,non-phrase
146,fact,mere,non-phrase
147,eye,blind,non-phrase
148,law,moral,non-phrase
149,way,usual,non-phrase
150,parts,equal,non-phrase
151,acid,uric,non-phrase
152,life,inner,non-phrase
153,time,due,non-phrase
154,guy,nice,non-phrase
155,jeans,blue,non-phrase
156,smile,wry,non-phrase
157,rule,final,non-phrase
158,while,worth,non-phrase
159,worth,net,non-phrase
160,eyes,grey,non-phrase
161,words,some,non-phrase
162,land,dry,non-phrase
163,night,dark,non-phrase
164,water,high,non-phrase
165,men,armed,non-phrase
166,case,worst,non-phrase
167,old,those,non-phrase
168,well,damn,non-phrase
169,lot,awful,non-phrase
170,view,full,non-phrase
171,order,legal,non-phrase
172,war,cold,non-phrase
173,legs,hind,non-phrase
174,year,new,non-phrase
175,wars,civil,non-phrase
176,good,such,non-phrase
177,hair,gray,non-phrase
178,off,worse,non-phrase
179,voice,soft,non-phrase
